id,raw_text,canonical_transliterated,canonical_italic,canonical_words_only,translation,year_from,year_to,intact_token_ratio,data_quality,dup_group_id,dup_group_size
CIE 267,ƎIƎCHƎJAIMOLA AMθNIAL-revine,eIeCHeJAIMOLA AMθNIAL-revine,,,,,,0.000,needs_review,b789f5e0b2ce,1
CIE 2670,ZANIDIA:Q.A.I.Z.A.,ZANIDIA:Q.A.I.Z.A.,,ZANIDIA Q.A.I.Z.A.,,,,1.000,clean,3227f2013a07,1
8385,poplia,poplia,𐌐𐌏𐌐𐌋𐌉𐌀,poplia,ms-poplia,,,1.000,clean,68a4796943df,2
8462,setorio,setorio,𐌔𐌄𐌕𐌏𐌓𐌉𐌏,setorio,,,,1.000,clean,9353274ba314,1
8464,teivatia,teivatia,𐌕𐌄𐌉𐌅𐌀𐌕𐌉𐌀,teivatia,,,,1.000,clean,53dade27c4ea,1
8528,tf,tf,𐌕𐌚,tf,,,,1.000,clean,8541c2d149fa,1
CIE 2671,AZIJANRAA:IEMDIZ:IOAJ,AZIJANRAA:IEMDIZ:IOAJ,,,,,,0.000,needs_review,3c8272b83fda,1
CIE 2672,AHDIZ:AO,AHDIZ:AO,,AHDIZ AO,,,,1.000,clean,335e42e971c1,1
CIE 2673,AV:AMΘI:ΘVLIA:VLIA,AV:AMΘI:ΘVLIA:VLIA,,AV AMΘI ΘVLIA VLIA,,,,1.000,clean,89454e249abc,1
304,menamecanacliviniatrecteveluslarthu,menamecanacliviniatrecteveluslarθu,𐌌𐌄𐌍𐌀𐌌𐌄𐌂𐌀𐌍𐌀𐌂𐌋𐌉𐌅𐌉𐌍𐌉𐌀𐌕𐌓𐌄𐌂𐌕𐌄𐌅𐌄𐌋𐌖𐌔𐌋𐌀𐌓𐌈𐌖,menamecanacliviniatrecteveluslarθu,,,,1.000,clean,4469dfbf63e9,1
ETP 325,mi ramaθas treseles,mi ramaθas treseles,𐌌𐌉 𐌓𐌀𐌌𐌀𐌈𐌀𐌔 𐌕𐌓𐌄𐌔𐌄𐌋𐌄𐌔,mi ramaθas treseles,"I (am the bowl) of Ramatha, (family) o f Treseles.",500.0,500.0,1.000,clean,729615555be9,1
8689,mimunsal,mimunsal,𐌌𐌉𐌌𐌖𐌍𐌔𐌀𐌋,mimunsal,,,,1.000,clean,520108f22773,1
8781,vesinas,vesinas,𐌅𐌄𐌔𐌉𐌍𐌀𐌔,vesinas,,,,1.000,clean,06e75f2f004c,1
8782,acvezthi,acvezθi,𐌀𐌂𐌅𐌄𐌆𐌈𐌉,acvezθi,,,,1.000,clean,4b897b2270a4,1
